Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	4	IodoAcet:11,IodoAcet:14,IodoAcet:23,IodoAcet:26	4167.78175
2	0		3471.66398
3	7	IodoAcet:3,IodoAcet:4,IodoAcet:11,IodoAcet:12,IodoAcet:18,IodoAcet:19,IodoAcet:25	3795.51574
4	3	Plus1Oxy:7,IodoAcet:13,IodoAcet:27	3601.68896
5	0		3490.61362
6	1	IodoAcet:22	3521.81865
7	1	IodoAcet:26	3799.87973
8	0		3267.5215
9	0		3342.72402
10	2	IodoAcet:13,IodoAcet:27	3585.69405
11	2	IodoAcet:24,IodoAcet:27	3725.80024
12	1	IodoAcet:15	3293.43183
13	0		3127.6049
14	0		3815.84747
15	0		3297.64034
16	1	IodoAcet:12	3781.90555
17	2	Plus1Oxy:7,IodoAcet:27	3528.69034
18	1	IodoAcet:5	3252.45493
19	1	IodoAcet:27	3512.69543
20	0		3396.78739
21	0		4275.89235
22	0		3251.61308
23	0		3616.69898
24	0		3480.61804
25	1	IodoAcet:9	3632.69007
26	0		3979.94376
27	3	IodoAcet:6,IodoAcet:11,IodoAcet:12	3604.64956
28	0		3269.5886
29	1	IodoAcet:23	2979.46465
30	2	IodoAcet:8,IodoAcet:12	3472.55835
31	0		2989.55478
32	0		3299.63421
33	1	IodoAcet:15	4442.07993
34	1	IodoAcet:6	3160.41815
35	1	IodoAcet:4	3904.78483
36	0		3468.6043
37	0		3825.87041
38	4	IodoAcet:3,IodoAcet:11,IodoAcet:21,IodoAcet:28	3293.58749
39	1	IodoAcet:8	3230.5705
40	4	IodoAcet:1,IodoAcet:3,IodoAcet:12,IodoAcet:14	3278.34119
41	0		2938.37721
42	1	IodoAcet:17	3904.8623
43	0		3605.74138
44	1	IodoAcet:2	3176.40317
45	1	IodoAcet:17	2908.26424
46	0		3841.97361
47	0		3424.6309
48	1	IodoAcet:1	4216.05332
49	0		2979.41031
50	0		3030.53708
51	0		2802.3969
52	1	IodoAcet:5	3244.58212
53	0		3249.55768
54	2	IodoAcet:16,Plus1Oxy:18	3509.62886
