Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
567472	1	0.0018	1	1.6147E+07	1.9565E+06	445.1205	490.6	5165	5165	HMS
567472	2	0.0070	1	1.3968E+07	1.9158E+06	445.12	151.6	2142	2142	HMS
567472	3	0.0123	1	1.0522E+07	1.4561E+06	371.1011	155.6	2096	2096	HMS
567472	4	0.0176	1	3.3937E+06	533963	371.1014	84.94	1326	1326	HMS
567472	5	0.0231	1	2.968E+06	435564	371.101	166.1	2129	2129	HMS
567472	6	0.0284	1	4.6531E+06	668189	371.1009	208	2624	2624	HMS
567472	7	0.0337	1	1.6198E+07	2.0108E+06	445.1181	456.2	4586	4586	HMS
567472	8	0.0381	1	1.6819E+07	2.0641E+06	371.0995	495.4	4938	4938	HMS
567472	9	0.0425	1	1.1023E+07	1.6227E+06	371.1011	156.4	2029	2029	HMS
567472	10	0.0468	1	6.7418E+06	937313	371.1013	95.18	1648	1648	HMS
567472	11	0.0512	1	3.0174E+06	470500	371.1014	85.06	1383	1383	HMS
567472	12	0.0556	1	2.3985E+06	366307	371.1012	103.8	1674	1674	HMS
567472	13	0.0600	1	2.8609E+06	370417	371.1011	138.4	2200	2200	HMS
567472	14	0.0644	1	7.2415E+06	867608	371.1005	279.3	3720	3720	HMS
567472	15	0.0687	1	1.8299E+07	1.9727E+06	445.1184	366.6	4839	4839	HMS
567472	16	0.0731	1	1.7928E+07	2.0592E+06	445.1195	195.3	3047	3047	HMS
567472	17	0.0775	1	1.2524E+07	1.5541E+06	445.1198	184.2	2607	2607	HMS
567472	18	0.0819	1	1.3328E+07	1.42E+06	445.1194	194.3	3267	3267	HMS
567472	19	0.0863	1	7.4682E+06	815559	371.1009	129.5	2435	2435	HMS
567472	20	0.0906	1	916194	205594	371.1014	38.58	507	507	HMS
567472	21	0.0950	1	432660	69128	371.1013	29.75	662	662	HMS
567472	22	0.0994	1	383958	65290	371.1015	30.57	633	633	HMS
567472	23	0.1038	1	370642	62531	371.1015	30.6	641	641	HMS
567472	24	0.1082	1	405768	79933	371.1016	40.9	733	733	HMS
567472	25	0.1125	1	345142	59920	371.1015	28.16	624	624	HMS
567472	26	0.1169	1	361618	59909	371.1015	30.28	686	686	HMS
567472	27	0.1213	1	531726	66186	371.1014	32.12	953	953	HMS
567472	28	0.1257	1	337771	61889	371.1016	32.55	695	695	HMS
567472	29	0.1301	1	650347	116044	371.1015	54.33	813	813	HMS
567472	30	0.1344	1	773789	132420	371.1015	63.22	1119	1119	HMS
567472	31	0.1388	1	7.9913E+06	1.0062E+06	371.1003	301.6	3685	3685	HMS
567472	32	0.1432	1	1.3951E+07	1.5001E+06	445.1181	403.5	4961	4961	HMS
567472	33	0.1476	1	1.2369E+07	1.5147E+06	445.1195	210.2	2733	2733	HMS
567472	34	0.1519	1	7.9385E+06	940735	371.1009	160	2285	2285	HMS
567472	35	0.1563	1	1.4797E+06	281245	371.1013	86.81	1113	1113	HMS
567472	36	0.1607	1	553394	83897	445.1204	41.74	859	859	HMS
567472	37	0.1651	1	439159	64753	371.1015	31.29	696	696	HMS
567472	38	0.1695	1	358628	58043	371.1015	27.89	623	623	HMS
567472	39	0.1738	1	244992	43735	371.1015	23.3	537	537	HMS
567472	40	0.1782	1	209095	30765	371.1016	17.19	534	534	HMS
567472	41	0.1826	1	250445	40353	371.1013	23.63	610	610	HMS
567472	42	0.1870	1	235174	37381	371.1014	20.53	591	591	HMS
567472	43	0.1914	1	237205	43217	371.1014	24.3	589	589	HMS
567472	44	0.1957	1	200307	37986	371.1015	20.49	461	461	HMS
567472	45	0.2001	1	222816	42959	371.1015	24.14	494	494	HMS
567472	46	0.2045	1	226500	43557	371.1014	23.13	503	503	HMS
567472	47	0.2089	1	234105	35814	445.1203	19.91	562	562	HMS
567472	48	0.2133	1	219620	35050	371.1014	20.51	620	620	HMS
567472	49	0.2176	1	194126	36098	371.1016	18.46	487	487	HMS
567472	50	0.2220	1	184312	33071	445.1203	17.34	388	388	HMS
567472	51	0.2264	1	204519	41510	371.1015	22.14	502	502	HMS
567472	52	0.2308	1	207103	33216	371.1016	18.44	595	595	HMS
567472	53	0.2352	1	218144	32464	371.1016	18.99	613	613	HMS
567472	54	0.2395	1	191952	29906	371.1013	17.52	513	513	HMS
567472	55	0.2439	1	193728	29627	445.1202	16.09	505	505	HMS
567472	56	0.2483	1	203645	34626	371.1014	18.9	506	506	HMS
567472	57	0.2527	1	147555	30216	445.1206	16.14	315	315	HMS
567472	58	0.2571	1	177726	30695	445.1206	17.28	484	484	HMS
567472	59	0.2614	1	206799	32184	445.1204	17.88	554	554	HMS
567472	60	0.2658	1	224341	37180	445.1206	21.39	534	534	HMS
567472	61	0.2702	1	249221	44042	445.1205	24.61	579	579	HMS
567472	62	0.2746	1	207074	37406	445.1205	20.06	480	480	HMS
567472	63	0.2789	1	199934	41881	445.1208	21.95	442	442	HMS
567472	64	0.2833	1	215233	38703	371.1015	20.81	455	455	HMS
567472	65	0.2877	1	199506	33859	445.1205	18.72	480	480	HMS
567472	66	0.2921	1	208567	32736	445.1201	15.9	440	440	HMS
567472	67	0.2965	1	202826	37128	371.1014	21.42	527	527	HMS
567472	68	0.3008	1	192249	31775	371.1015	18.78	514	514	HMS
567472	69	0.3052	1	174177	33821	371.1013	18.22	431	431	HMS
567472	70	0.3096	1	193928	33247	371.1013	19.3	477	477	HMS
567472	71	0.3140	1	168236	30390	445.1204	15.42	360	360	HMS
567472	72	0.3184	1	233226	31973	371.1014	17.86	585	585	HMS
567472	73	0.3227	1	202385	33134	445.1205	18.81	514	514	HMS
567472	74	0.3271	1	197219	35546	445.1203	19.71	512	512	HMS
567472	75	0.3315	1	202642	30373	371.1013	16.73	520	520	HMS
567472	76	0.3359	1	199022	38804	371.1013	20.07	462	462	HMS
567472	77	0.3403	1	208320	40208	371.1015	22.85	502	502	HMS
567472	78	0.3446	1	220745	37722	445.1201	21.19	560	560	HMS
567472	79	0.3490	1	216880	34649	371.1014	19.75	586	586	HMS
567472	80	0.3534	1	226008	36950	445.1205	21.06	583	583	HMS
567472	81	0.3578	1	257883	33377	371.1016	18.53	718	718	HMS
567472	82	0.3622	1	216790	34521	445.1206	18.41	575	575	HMS
567472	83	0.3665	1	199204	35765	445.1204	19.4	478	478	HMS
567472	84	0.3709	1	205219	31940	445.1206	18.4	495	495	HMS
567472	85	0.3753	1	216456	32938	371.1016	18.71	520	520	HMS
567472	86	0.3797	1	168939	30688	445.1199	17.76	429	429	HMS
567472	87	0.3840	1	212623	39355	371.1016	23.44	596	596	HMS
567472	88	0.3884	1	227200	31691	371.1017	18.25	638	638	HMS
567472	89	0.3928	1	218769	38091	445.1205	19.99	519	519	HMS
567472	90	0.3972	1	196089	31367	371.1016	16.46	477	477	HMS
567472	91	0.4016	1	196245	33059	445.1206	15.99	415	415	HMS
567472	92	0.4059	1	208950	31120	445.1204	16.19	496	496	HMS
567472	93	0.4103	1	255751	43869	371.1014	24.67	618	618	HMS
567472	94	0.4147	1	196361	31512	445.1206	17.92	500	500	HMS
567472	95	0.4191	1	224332	40606	445.1206	22.48	545	545	HMS
567472	96	0.4235	1	198841	37826	371.1015	21.89	566	566	HMS
567472	97	0.4278	1	212081	36360	371.1015	19.56	518	518	HMS
567472	98	0.4322	1	211921	32596	371.1014	17.95	530	530	HMS
567472	99	0.4366	1	223818	36581	445.1201	20.4	586	586	HMS
567472	100	0.4410	1	231502	30538	371.1017	16.24	555	555	HMS
567472	101	0.4454	1	207748	32323	371.1015	16.93	488	488	HMS
567472	102	0.4497	1	185878	33454	371.1014	19.34	512	512	HMS
567472	103	0.4541	1	204133	36462	445.1204	18.53	518	518	HMS
567472	104	0.4585	1	227772	39783	445.1201	21.45	547	547	HMS
567472	105	0.4629	1	211599	31897	371.1018	17.89	565	565	HMS
567472	106	0.4673	1	230337	37031	445.1203	21.41	573	573	HMS
567472	107	0.4716	1	213610	34258	371.1017	20.15	593	593	HMS
567472	108	0.4760	1	228451	38242	371.1013	20.54	543	543	HMS
567472	109	0.4804	1	204034	33783	445.1204	17.54	456	456	HMS
567472	110	0.4848	1	208389	36970	371.1014	20.7	547	547	HMS
567472	111	0.4892	1	236147	35972	371.1015	20.54	654	654	HMS
567472	112	0.4935	1	198592	32966	445.1207	18.84	578	578	HMS
567472	113	0.4979	1	265836	45749	445.1204	25.04	631	631	HMS
567472	114	0.5023	1	329926	49574	445.1202	24.4	588	588	HMS
567472	115	0.5067	1	540642	87856	371.1014	42.2	806	806	HMS
567472	116	0.5110	1	1.2381E+06	192179	371.1013	79.3	1174	1174	HMS
567472	117	0.5154	1	9.4541E+06	1.0888E+06	445.1188	309.8	3955	3955	HMS
567472	118	0.5198	1	1.1229E+07	1.3489E+06	445.1193	253.5	3206	3206	HMS
567472	119	0.5242	1	1.0466E+07	1.1994E+06	445.1196	193.9	2894	2894	HMS
567472	120	0.5286	1	1.0499E+07	1.2831E+06	445.1194	224	3041	3041	HMS
567472	121	0.5329	1	1.229E+07	1.4427E+06	445.1194	258.6	3430	3430	HMS
567472	122	0.5373	1	1.4323E+07	1.7439E+06	445.1194	246.6	3245	3245	HMS
567472	123	0.5417	1	1.3072E+07	1.5178E+06	371.1007	194.2	2817	2817	HMS
567472	124	0.5461	1	3.8618E+06	509843	445.1201	94.57	1660	1660	HMS
567472	125	0.5505	1	607957	73247	371.1015	33.42	963	963	HMS
567472	126	0.5548	1	317721	54134	371.1015	30.06	634	634	HMS
567472	127	0.5592	1	312643	55521	445.1205	25.69	526	526	HMS
567472	128	0.5636	1	328963	65991	371.1014	30.91	560	560	HMS
567472	129	0.5680	1	358192	65572	371.1015	33.14	544	544	HMS
567472	130	0.5724	1	296000	49026	371.1015	25.03	549	549	HMS
567472	131	0.5767	1	293016	49551	371.1016	27.13	622	622	HMS
567472	132	0.5811	1	340321	52011	371.1016	25.13	585	585	HMS
567472	133	0.5855	1	357973	66167	371.1016	35.82	682	682	HMS
567472	134	0.5899	1	393266	71014	371.1016	35.33	725	725	HMS
567472	135	0.5943	1	383356	69594	371.1014	37.11	621	621	HMS
567472	136	0.5986	1	400167	73818	371.1014	37.28	628	628	HMS
567472	137	0.6030	1	386432	65686	371.1013	35.61	781	781	HMS
567472	138	0.6074	1	344621	72526	371.1015	40.26	599	599	HMS
567472	139	0.6118	1	274973	42342	445.1206	20.64	501	501	HMS
567472	140	0.6162	1	287196	46569	371.1016	24.07	568	568	HMS
567472	141	0.6205	1	269406	42561	371.1015	22.63	581	581	HMS
567472	142	0.6249	1	271354	41978	445.1206	22.3	596	596	HMS
567472	143	0.6293	1	199426	34301	371.1015	20.57	551	551	HMS
567472	144	0.6337	1	185926	34627	445.1206	19.07	447	447	HMS
567472	145	0.6380	1	194394	34243	371.1016	19.7	566	566	HMS
567472	146	0.6424	1	172650	32333	371.1014	17.52	382	382	HMS
567472	147	0.6468	1	165270	33859	371.1015	18.94	350	350	HMS
567472	148	0.6512	1	171486	35921	371.1017	20.79	467	467	HMS
567472	149	0.6556	1	178494	36576	371.1015	20.04	457	457	HMS
567472	150	0.6599	1	183602	32945	371.1015	18.4	462	462	HMS
567472	151	0.6643	1	168615	30564	445.1208	16.17	367	367	HMS
567472	152	0.6687	1	214456	35649	445.1203	19.87	506	506	HMS
567472	153	0.6731	1	203430	36919	445.1203	20.06	477	477	HMS
567472	154	0.6775	1	205658	34895	371.1016	19.79	551	551	HMS
567472	155	0.6818	1	240949	49942	371.1014	29.61	762	762	HMS
567472	156	0.6862	1	192512	33056	371.1014	17.46	447	447	HMS
567472	157	0.6906	1	190806	35406	371.1016	19.13	457	457	HMS
567472	158	0.6950	1	218504	37662	445.1204	20.58	542	542	HMS
567472	159	0.6994	1	197678	34526	371.1013	19.95	506	506	HMS
567472	160	0.7037	1	178979	32719	445.1205	18.62	449	449	HMS
567472	161	0.7081	1	217286	33777	371.1014	18.88	606	606	HMS
567472	162	0.7125	1	208870	33318	371.1014	19.54	527	527	HMS
567472	163	0.7169	1	182446	37648	371.1012	19.07	390	390	HMS
567472	164	0.7213	1	189957	29077	371.1011	17.28	563	563	HMS
567472	165	0.7256	1	215005	37495	371.1014	20.9	546	546	HMS
567472	166	0.7300	1	187150	35794	371.1015	20.34	479	479	HMS
