Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	5	IodoAcet:1,TMT6Tag:1,IodoAcet:3,IodoAcet:12,TMT6Tag:19	5089.3340843
2	2	TMT6Tag:1,TMT6Tag:39	4513.3532938
3	1	TMT6Tag:1	4153.2042361
4	4	TMT6Tag:1,IodoAcet:3,IodoAcet:7,IodoAcet:25	4099.9901229
5	2	TMT6Tag:1,Plus1Oxy:13	4169.1991511
6	1	TMT6Tag:1	4162.1747115
7	2	TMT6Tag:1,TMT6Tag:36	4375.1495761
8	1	TMT6Tag:1	4868.5443724
9	4	TMT6Tag:1,TMT6Tag:8,IodoAcet:11,TMT6Tag:45	5387.5407198
10	5	TMT6Tag:1,IodoAcet:8,IodoAcet:11,IodoAcet:30,IodoAcet:35	4841.1596878
11	2	TMT6Tag:1,TMT6Tag:34	3943.0764913
12	2	TMT6Tag:1,TMT6Tag:33	4094.1366574
13	3	TMT6Tag:1,IodoAcet:18,TMT6Tag:32	3942.0349675
14	2	TMT6Tag:1,TMT6Tag:46	5152.5098946
15	4	TMT6Tag:1,IodoAcet:2,IodoAcet:12,IodoAcet:23	4267.9636336
16	5	TMT6Tag:1,TMT6Tag:1,IodoAcet:6,IodoAcet:8,TMT6Tag:33	4126.1104135
17	5	TMT6Tag:1,TMT6Tag:1,IodoAcet:6,IodoAcet:8,TMT6Tag:33	4126.1104135
18	7	TMT6Tag:1,TMT6Tag:8,IodoAcet:10,IodoAcet:15,IodoAcet:22,IodoAcet:26,TMT6Tag:30	4209.9067152
19	1	TMT6Tag:1	4066.8810669
20	3	TMT6Tag:1,IodoAcet:24,TMT6Tag:34	3870.6861604
21	5	TMT6Tag:1,IodoAcet:7,IodoAcet:20,IodoAcet:35,TMT6Tag:42	5068.4368443
22	3	TMT6Tag:1,TMT6Tag:12,TMT6Tag:34	4535.3413547
23	4	TMT6Tag:1,IodoAcet:7,IodoAcet:24,TMT6Tag:30	3795.8276949
24	1	TMT6Tag:1	5349.7728444
25	3	TMT6Tag:1,IodoAcet:33,TMT6Tag:35	4086.2075015
26	2	TMT6Tag:1,TMT6Tag:4	4608.1878607
27	4	TMT6Tag:1,IodoAcet:19,IodoAcet:25,TMT6Tag:30	4092.8761514
28	1	TMT6Tag:1	3423.5921286
29	5	TMT6Tag:1,IodoAcet:3,IodoAcet:10,IodoAcet:16,IodoAcet:29	4267.9598022
30	2	TMT6Tag:1,TMT6Tag:36	4286.4141061
31	2	TMT6Tag:1,TMT6Tag:30	3445.6750180
32	5	TMT6Tag:1,IodoAcet:8,IodoAcet:13,IodoAcet:14,IodoAcet:33	4185.0568083
33	1	TMT6Tag:1	3102.2926031
34	8	IodoAcet:1,TMT6Tag:1,IodoAcet:6,IodoAcet:8,IodoAcet:17,IodoAcet:22,IodoAcet:26,IodoAcet:32	4369.7745555
35	2	TMT6Tag:1,TMT6Tag:23	4670.4231536
36	7	TMT6Tag:1,IodoAcet:10,IodoAcet:12,IodoAcet:22,IodoAcet:28,IodoAcet:30,TMT6Tag:31	3834.6892530
37	2	TMT6Tag:1,IodoAcet:12	3515.7192337
38	1	TMT6Tag:1	3571.7915314
39	2	TMT6Tag:1,IodoAcet:9	4745.3555827
40	4	TMT6Tag:1,TMT6Tag:1,IodoAcet:7,TMT6Tag:28	3827.9759655
41	4	TMT6Tag:1,TMT6Tag:1,IodoAcet:3,IodoAcet:26	4038.9682158
42	5	TMT6Tag:1,IodoAcet:4,IodoAcet:5,IodoAcet:25,TMT6Tag:29	3840.9405563
43	2	TMT6Tag:1,TMT6Tag:39	4784.6367666
44	3	TMT6Tag:1,IodoAcet:18,TMT6Tag:34	4175.2300218
45	2	TMT6Tag:1,IodoAcet:6	3538.6141748
46	4	TMT6Tag:1,IodoAcet:8,IodoAcet:24,TMT6Tag:29	3255.5639554
47	2	TMT6Tag:1,TMT6Tag:30	3822.0066316
48	2	TMT6Tag:1,IodoAcet:13	3760.7397609
49	4	TMT6Tag:1,IodoAcet:17,IodoAcet:27,TMT6Tag:29	3509.8109861
50	2	TMT6Tag:1,TMT6Tag:35	3893.8377826
51	3	TMT6Tag:1,IodoAcet:17,TMT6Tag:33	4019.1289209
52	3	TMT6Tag:1,IodoAcet:11,TMT6Tag:29	3366.7567714
53	2	TMT6Tag:1,TMT6Tag:28	3636.8504614
54	3	TMT6Tag:1,IodoAcet:20,TMT6Tag:28	3174.6383795
55	2	TMT6Tag:1,TMT6Tag:2	3848.9481291
56	3	TMT6Tag:1,IodoAcet:21,TMT6Tag:40	4538.4233485
57	2	TMT6Tag:1,IodoAcet:19	3357.5153263
58	2	TMT6Tag:1,TMT6Tag:41	4542.3659188
59	3	TMT6Tag:1,TMT6Tag:8,TMT6Tag:25	4080.0452104
60	4	TMT6Tag:1,IodoAcet:23,IodoAcet:30,TMT6Tag:31	3813.0222428
61	5	TMT6Tag:1,IodoAcet:7,TMT6Tag:15,TMT6Tag:19,IodoAcet:23	4643.2614109
62	2	TMT6Tag:1,IodoAcet:23	3329.5700214
63	2	TMT6Tag:1,TMT6Tag:40	4294.3729121
64	4	TMT6Tag:1,TMT6Tag:6,IodoAcet:12,TMT6Tag:32	4221.1832249
65	6	TMT6Tag:1,IodoAcet:8,IodoAcet:11,Plus1Oxy:25,IodoAcet:30,IodoAcet:35	4857.1546028
66	6	TMT6Tag:1,IodoAcet:8,IodoAcet:10,IodoAcet:23,IodoAcet:29,IodoAcet:36	4439.8909988
67	3	TMT6Tag:1,Plus1Oxy:8,IodoAcet:19	3373.5102413
68	1	TMT6Tag:1	3849.9989989
69	4	TMT6Tag:1,Plus1Oxy:9,IodoAcet:24,TMT6Tag:27	3264.6424178
70	3	TMT6Tag:1,IodoAcet:27,TMT6Tag:32	3895.0230106
71	1	TMT6Tag:1	3731.6310118
72	2	TMT6Tag:1,IodoAcet:22	3841.8247526
73	3	TMT6Tag:1,IodoAcet:12,TMT6Tag:28	3444.7751969
74	5	TMT6Tag:1,TMT6Tag:5,TMT6Tag:6,IodoAcet:24,TMT6Tag:36	4739.3376953
75	3	TMT6Tag:1,IodoAcet:20,TMT6Tag:26	3722.6943001
76	5	TMT6Tag:1,TMT6Tag:8,IodoAcet:20,IodoAcet:26,TMT6Tag:27	3676.7916047
77	2	TMT6Tag:1,TMT6Tag:28	3828.8154530
78	3	TMT6Tag:1,IodoAcet:20,TMT6Tag:26	3766.7205127
79	1	TMT6Tag:1	2945.2002805
80	2	TMT6Tag:1,IodoAcet:5	4855.1537943
81	3	TMT6Tag:1,TMT6Tag:1,IodoAcet:31	4061.0653609
82	2	TMT6Tag:1,IodoAcet:2	3466.6752062
83	3	TMT6Tag:1,TMT6Tag:8,IodoAcet:29	3423.6028353
84	3	TMT6Tag:1,TMT6Tag:1,IodoAcet:11	3581.8592550
85	3	TMT6Tag:1,IodoAcet:28,TMT6Tag:30	3863.8968140
86	3	TMT6Tag:1,IodoAcet:23,TMT6Tag:29	3787.8515936
87	1	TMT6Tag:1	3953.8756469
88	1	TMT6Tag:1	4352.2066782
89	2	TMT6Tag:1,TMT6Tag:7	3604.8811030
90	2	TMT6Tag:1,TMT6Tag:45	5391.8493127
91	2	TMT6Tag:1,TMT6Tag:33	4061.0462412
92	3	TMT6Tag:1,IodoAcet:23,TMT6Tag:27	3448.7121333
93	3	TMT6Tag:1,TMT6Tag:14,TMT6Tag:29	3741.1204975
94	2	TMT6Tag:1,TMT6Tag:26	3347.7588179
95	2	TMT6Tag:1,IodoAcet:16	3219.6186001
96	1	TMT6Tag:1	3373.6376136
97	4	TMT6Tag:1,IodoAcet:20,IodoAcet:24,IodoAcet:27	3555.6860372
98	2	TMT6Tag:1,IodoAcet:37	4090.0405996
99	2	TMT6Tag:1,TMT6Tag:28	3576.7797255
100	3	TMT6Tag:1,TMT6Tag:14,TMT6Tag:28	3424.9496802
101	2	TMT6Tag:1,TMT6Tag:28	3543.8548328
