Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	FHL3_MOUSE		
2	2	0	YBOX1_MOUSE		
3	2	0	GRN_MOUSE		
4	2	0	H31_MOUSE		
5	2	0	HNRPL_MOUSE		
6	2	0	PLSL_MOUSE		
7	2	0	TERA_MOUSE		
8	2	0	ASNS_MOUSE		
9	2	0	TLN1_MOUSE		
10	2	0	H31_MOUSE		
11	1	0	MIF_MOUSE		
12	2	0	RBBP7_MOUSE		
13	2	0	COPB_MOUSE		
14	2	0	PDIA1_MOUSE		
15	2	0	G6PI_MOUSE		
16	2	0	RLA1_MOUSE		
17	2	0	H32_MOUSE		
18	2	0	PUR9_MOUSE		
19	2	0	H32_MOUSE		
20	2	0	TLN1_MOUSE		
21	2	0	ENPL_MOUSE		
22	2	0	RTCB_MOUSE		
23	2	0	IQGA1_MOUSE		
24	2	0	CAH2_MOUSE		
25	2	0	HNRL2_MOUSE		
26	2	0	KAD4_MOUSE		
27	2	0	IDI1_MOUSE		
28	2	0	FUMH_MOUSE		
29	2	0	5NTC_MOUSE		
30	2	0	PRP19_MOUSE		
31	2	0	ROA0_MOUSE		
32	2	0	PCNA_MOUSE		
33	2	0	PRDX2_MOUSE		
34	2	0	C1QBP_MOUSE		
35	2	0	PLSL_MOUSE		
36	2	0	SPSY_MOUSE		
37	2	0	HNRLL_MOUSE		
38	2	0	RINI_MOUSE		
39	2	0	ETHE1_MOUSE		
40	2	0	ERO1A_MOUSE		
41	2	0	SYTC_MOUSE		
42	2	0	P5CR2_MOUSE		
43	2	0	RM12_MOUSE		
44	2	0	CATB_MOUSE		
45	2	0	HNRPL_MOUSE		
46	2	0	ATPB_MOUSE		
47	2	0	MTCH2_MOUSE		
48	2	0	APEX1_MOUSE		
49	2	0	HNRPU_MOUSE		
50	2	0	TMED9_MOUSE		
51	2	0	NCOA5_MOUSE		
52	2	0	NOP56_MOUSE		
53	2	0	TRAP1_MOUSE		
54	2	0	KPYM_MOUSE		
55	2	0	ENOA_MOUSE		
56	2	0	GLOD4_MOUSE		
57	2	0	RLA0_MOUSE		
58	2	0	ACTB_MOUSE		
58	2	0	ACTBL_MOUSE		
58	2	0	ACTG_MOUSE		
59	2	0	GELS_MOUSE		
60	2	0	TBB4A_MOUSE		
60	2	0	TBB4B_MOUSE		
60	2	0	TBB5_MOUSE		
61	2	0	ALDOA_MOUSE		
62	2	0	SCOT1_MOUSE		
63	2	0	TCPB_MOUSE		
64	2	0	TXND5_MOUSE		
65	2	0	PA2G4_MOUSE		
66	2	0	ROA0_MOUSE		
67	2	0	CALX_MOUSE		
68	2	0	DYL2_MOUSE		
69	2	0	GATM_MOUSE		
70	2	0	RN126_MOUSE		
71	2	0	TLN1_MOUSE		
72	2	0	STIP1_MOUSE		
73	2	0	ROA2_MOUSE		
74	2	0	ACTB_MOUSE		
74	2	0	ACTBL_MOUSE		
74	2	0	ACTG_MOUSE		
75	2	0	HNRPQ_MOUSE		
76	2	0	TLN1_MOUSE		
77	2	0	IPYR_MOUSE		
78	2	0	VDAC2_MOUSE		
79	2	0	PKHO2_MOUSE		
80	2	0	HCLS1_MOUSE		
81	2	0	FLNA_MOUSE		
82	2	0	RLA2_MOUSE		
83	2	0	MDHM_MOUSE		
84	2	0	SEPT9_MOUSE		
85	2	0	PKHO2_MOUSE		
86	2	0	RLA2_MOUSE		
87	2	0	LYZ2_MOUSE		
88	2	0	PCBP1_MOUSE		
89	2	0	STML2_MOUSE		
90	2	0	HNRPL_MOUSE		
91	2	0	GSLG1_MOUSE		
92	2	0	TBB6_MOUSE		
93	2	0	TIF1B_MOUSE		
94	2	0	P5CS_MOUSE		
95	2	0	ATPD_MOUSE		
96	2	0	WDR1_MOUSE		
97	2	0	GORS2_MOUSE		
98	2	0	IMB1_MOUSE		
99	2	0	FLNB_MOUSE		
100	2	0	RL17_MOUSE		
101	1	0	EIF3G_MOUSE		
102	2	0	EIF1_MOUSE		
102	2	0	EIF1B_MOUSE		
103	2	0	THIC_MOUSE		
104	2	0	TBB5_MOUSE		
105	2	0	CENPV_MOUSE		
106	2	0	USO1_MOUSE		
107	2	0	PRDX3_MOUSE		
108	2	0	MSI2H_MOUSE		
109	2	0	SNAA_MOUSE		
110	2	0	UAP1L_MOUSE		
111	2	0	PRS10_MOUSE		
112	2	0	COR1A_MOUSE		
113	2	0	ODPA_MOUSE		
114	2	0	PTPRC_MOUSE		
115	2	0	WDR1_MOUSE		
116	2	0	AATC_MOUSE		
117	2	0	GLSK_MOUSE		
118	2	0	TCPE_MOUSE		
119	2	0	Contaminant_ALBU_BOVIN		
120	2	0	OLA1_MOUSE		
121	2	0	MSTO1_MOUSE		
122	2	0	RS15_MOUSE		
123	2	0	AIMP2_MOUSE		
124	2	0	HSP7E_MOUSE		
125	2	0	PGK1_MOUSE		
126	2	0	ETFA_MOUSE		
127	2	0	CLIC4_MOUSE		
128	2	0	AHSA1_MOUSE		
129	2	0	CPSF5_MOUSE		
130	2	0	ALDOA_MOUSE		
130	2	0	ALDOC_MOUSE		
131	2	0	UBP14_MOUSE		
132	2	0	FUBP2_MOUSE		
133	2	0	RAE1L_MOUSE		
134	2	0	GBB1_MOUSE		
135	2	0	G6PI_MOUSE		
136	2	0	AK1A1_MOUSE		
137	2	0	RSSA_MOUSE		
138	2	0	PDIA3_MOUSE		
139	2	0	RBBP7_MOUSE		
140	2	0	GFPT1_MOUSE		
141	2	0	IF4A1_MOUSE		
142	2	0	GELS_MOUSE		
143	2	0	TKT_MOUSE		
144	2	0	NDUA3_MOUSE		
145	2	0	ACON_MOUSE		
146	2	0	MTDC_MOUSE		
147	2	0	ADHX_MOUSE		
148	2	0	PABP2_MOUSE		
149	2	0	SNR40_MOUSE		
150	2	0	TIF1B_MOUSE		
151	2	0	DHSA_MOUSE		
152	2	0	OSTF1_MOUSE		
153	2	0	FUS_MOUSE		
154	2	0	1433F_MOUSE		
155	2	0	SP16H_MOUSE		
156	2	0	ARP3_MOUSE		
157	2	0	ALDH2_MOUSE		
158	2	0	VDAC1_MOUSE		
159	2	0	CH60_MOUSE		
160	2	0	PURA_MOUSE		
161	2	0	CAPG_MOUSE		
162	2	0	ACL6A_MOUSE		
163	2	0	HMHA1_MOUSE		
164	2	0	SPEE_MOUSE		
165	2	0	PPIA_MOUSE		
166	2	0	PRP19_MOUSE		
167	2	0	RBM14_MOUSE		
168	2	0	RBBP4_MOUSE		
169	2	0	ANXA2_MOUSE		
170	2	0	GDIB_MOUSE		
171	2	0	APT_MOUSE		
172	2	0	CHRD1_MOUSE		
173	2	0	IF4A3_MOUSE		
174	2	0	NPM_MOUSE		
175	2	0	PPM1G_MOUSE		
176	2	0	DOCK8_MOUSE		
177	2	0	TCPB_MOUSE		
178	2	0	CAH2_MOUSE		
179	2	0	INO1_MOUSE		
180	2	0	TOM70_MOUSE		
181	2	0	RANG_MOUSE		
182	2	0	GRP78_MOUSE		
183	2	0	RSSA_MOUSE		
184	2	0	IF4A1_MOUSE		
185	2	0	TPIS_MOUSE		
186	2	0	RRBP1_MOUSE		
187	2	0	GNAI2_MOUSE		
188	2	0	SODC_MOUSE		
189	2	0	PA2G4_MOUSE		
190	2	0	HNRPU_MOUSE		
191	2	0	SCOT1_MOUSE		
192	2	0	IF6_MOUSE		
193	2	0	LSM4_MOUSE		
194	2	0	AT1A1_MOUSE		
195	2	0	KPYM_MOUSE		
196	2	0	RL8_MOUSE		
197	2	0	LPXN_MOUSE		
198	2	0	ACTB_MOUSE		
198	2	0	ACTG_MOUSE		
199	2	0	PSA7_MOUSE		
199	2	0	PSA7L_MOUSE		
200	2	0	TLN1_MOUSE		
201	2	0	F136A_MOUSE		
202	2	0	SND1_MOUSE		
203	2	0	PA2G4_MOUSE		
204	2	0	CALU_MOUSE		
205	2	0	SYSC_MOUSE		
206	2	0	LMNA_MOUSE		
207	2	0	EF1A1_MOUSE		
208	2	0	PEBP1_MOUSE		
209	2	0	MAOX_MOUSE		
210	2	0	ACTA_MOUSE		
210	2	0	ACTB_MOUSE		
210	2	0	ACTC_MOUSE		
210	2	0	ACTG_MOUSE		
210	2	0	ACTH_MOUSE		
210	2	0	ACTS_MOUSE		
211	2	0	SH3L1_MOUSE		
212	2	0	FUBP1_MOUSE		
213	2	0	STRAP_MOUSE		
214	2	0	NPM_MOUSE		
215	2	0	SRSF9_MOUSE		
216	2	0	AGFG1_MOUSE		
217	2	0	PGK1_MOUSE		
218	2	0	PA24A_MOUSE		
219	2	0	GRB2_MOUSE		
220	2	0	LRMP_MOUSE		
221	2	0	NPM_MOUSE		
222	2	0	EF2_MOUSE		
223	2	0	HERC4_MOUSE		
224	2	0	EF1A1_MOUSE		
225	2	0	ENOA_MOUSE		
226	2	0	BAF_MOUSE		
227	2	0	SYHC_MOUSE		
228	2	0	WDR43_MOUSE		
229	2	0	VDAC3_MOUSE		
230	2	0	PRDX6_MOUSE		
231	2	0	THIC_MOUSE		
232	2	0	PRDX1_MOUSE		
233	2	0	P5CS_MOUSE		
234	2	0	RFA2_MOUSE		
235	2	0	BTF3_MOUSE		
236	2	0	FLNA_MOUSE		
237	2	0	FLNA_MOUSE		
238	2	0	TBA1A_MOUSE		
238	2	0	TBA1B_MOUSE		
238	2	0	TBA1C_MOUSE		
238	2	0	TBA3_MOUSE		
239	2	0	IF2G_MOUSE		
239	2	0	IF2H_MOUSE		
240	2	0	TLN1_MOUSE		
241	2	0	ACADV_MOUSE		
242	2	0	API5_MOUSE		
243	2	0	FRIL1_MOUSE		
244	2	0	TBB2A_MOUSE		
244	2	0	TBB2B_MOUSE		
244	2	0	TBB4A_MOUSE		
244	2	0	TBB4B_MOUSE		
244	2	0	TBB5_MOUSE		
245	2	0	HNRPQ_MOUSE		
246	2	0	RBP2_MOUSE		
247	2	0	WDR1_MOUSE		
248	2	0	GAS7_MOUSE		
249	2	0	G6PI_MOUSE		
250	2	0	RAVR1_MOUSE		
251	2	0	PPIA_MOUSE		
252	2	0	WDR1_MOUSE		
253	2	0	DHSA_MOUSE		
254	2	0	EFGM_MOUSE		
255	2	0	RTN4_MOUSE		
256	2	0	TCPG_MOUSE		
257	2	0	CYB5B_MOUSE		
258	2	0	EIF3D_MOUSE		
259	2	0	TENS3_MOUSE		
260	2	0	CAPG_MOUSE		
261	2	0	RL17_MOUSE		
262	2	0	HNRPM_MOUSE		
263	2	0	EI2BE_MOUSE		
264	2	0	EF1A1_MOUSE		
265	2	0	TENS3_MOUSE		
266	2	0	CATZ_MOUSE		
267	2	0	CAH2_MOUSE		
268	2	0	HNRPL_MOUSE		
269	2	0	ABCF1_MOUSE		
270	2	0	HNRPD_MOUSE		
271	2	0	RLA0_MOUSE		
272	2	0	VASP_MOUSE		
273	2	0	SF3B3_MOUSE		
274	2	0	TCPH_MOUSE		
275	2	0	CLH1_MOUSE		
276	2	0	PAK2_MOUSE		
277	2	0	PPCE_MOUSE		
278	2	0	THIL_MOUSE		
279	2	0	PLEC_MOUSE		
280	2	0	ACTA_MOUSE		
280	2	0	ACTB_MOUSE		
280	2	0	ACTC_MOUSE		
280	2	0	ACTG_MOUSE		
280	2	0	ACTH_MOUSE		
280	2	0	ACTS_MOUSE		
281	2	0	ROA0_MOUSE		
282	2	0	CY24B_MOUSE		
283	2	0	WDR89_MOUSE		
284	2	0	CTND1_MOUSE		
285	2	0	GDIR2_MOUSE		
286	2	0	HS90B_MOUSE		
287	2	0	ALDOC_MOUSE		
288	2	0	AT1A1_MOUSE		
289	2	0	TXNL1_MOUSE		
290	2	0	COR1C_MOUSE		
291	2	0	COF1_MOUSE		
292	2	0	ANXA1_MOUSE		
293	2	0	PLSL_MOUSE		
294	2	0	FLNB_MOUSE		
295	2	0	NP1L1_MOUSE		
296	2	0	GLYR1_MOUSE		
297	2	0	TRI25_MOUSE		
298	2	0	EF1D_MOUSE		
299	2	0	SYSC_MOUSE		
300	2	0	HMGA2_MOUSE		
301	2	0	ABCF1_MOUSE		
302	2	0	PGK1_MOUSE		
303	2	0	K6PP_MOUSE		
304	2	0	LC7L2_MOUSE		
305	2	0	HNRPL_MOUSE		
306	2	0	NDRG1_MOUSE		
307	2	0	BT3L4_MOUSE		
308	2	0	K6PP_MOUSE		
309	2	0	DDX3L_MOUSE		
309	2	0	DDX3X_MOUSE		
310	2	0	HCFC1_MOUSE		
311	2	0	YMEL1_MOUSE		
312	2	0	UB2G2_MOUSE		
313	2	0	DDB1_MOUSE		
314	2	0	SNAA_MOUSE		
315	2	0	PPIF_MOUSE		
316	2	0	IDHG1_MOUSE		
317	2	0	SND1_MOUSE		
318	2	0	PUR4_MOUSE		
319	2	0	HNRL1_MOUSE		
320	2	0	KPYM_MOUSE		
321	2	0	EMD_MOUSE		
322	2	0	SAE2_MOUSE		
323	2	0	ERF1_MOUSE		
324	2	0	RS3_MOUSE		
325	2	0	EF1A1_MOUSE		
326	2	0	VIME_MOUSE		
327	2	0	LSP1_MOUSE		
328	2	0	EHD1_MOUSE		
329	2	0	PPIF_MOUSE		
330	2	0	EIF3M_MOUSE		
331	2	0	SAFB1_MOUSE		
331	2	0	SAFB2_MOUSE		
332	2	0	LMAN2_MOUSE		
333	1	0	KPYM_MOUSE		
334	2	0	LONM_MOUSE		
335	2	0	RL3_MOUSE		
336	2	0	TBCA_MOUSE		
337	2	0	ODO1_MOUSE		
338	2	0	SEP11_MOUSE		
339	2	0	LYRIC_MOUSE		
340	2	0	ATPA_MOUSE		
341	2	0	KPYM_MOUSE		
342	2	0	ENOA_MOUSE		
343	2	0	G3P_MOUSE		
344	2	0	AP1G1_MOUSE		
345	2	0	ODP2_MOUSE		
346	2	0	ERF3A_MOUSE		
347	2	0	ROA1_MOUSE		
348	2	0	BOP1_MOUSE		
349	2	0	TXND5_MOUSE		
350	2	0	GDIR2_MOUSE		
351	2	0	PDIA4_MOUSE		
352	2	0	ACTB_MOUSE		
352	2	0	ACTG_MOUSE		
